resource_name,resource_id
azurerm_resource_group.rg-01,/subscriptions/a0301882-3cb5-4e30-891a-07e6fc79241e/resourceGroups/dev-si-app-01
azurerm_resource_group.rg-02,/subscriptions/a0301882-3cb5-4e30-891a-07e6fc79241e/resourceGroups/dev-si-app-02
